[warn] 北京时间 17:50 处于高峰时段(9-12/14-18)，API 两倍价——冒烟无所谓，放量请换低谷
total=9000 done=50 todo=8987
[170/7940] ok=170 rej=0 flagged=26 calls=192 in_miss=54159 in_hit=306432 out=25467 ≈¥0.465(标准价, 低谷约半)
[180/7940] ok=180 rej=0 flagged=28 calls=202 in_miss=57284 in_hit=321792 out=26677 ≈¥0.489(标准价, 低谷约半)
[190/7940] ok=190 rej=0 flagged=30 calls=214 in_miss=61575 in_hit=340224 out=28126 ≈¥0.518(标准价, 低谷约半)
[200/7940] ok=200 rej=0 flagged=31 calls=224 in_miss=65191 in_hit=355584 out=29377 ≈¥0.543(标准价, 低谷约半)
[210/7940] ok=210 rej=0 flagged=32 calls=234 in_miss=68691 in_hit=370944 out=30581 ≈¥0.568(标准价, 低谷约半)
[220/7940] ok=220 rej=0 flagged=33 calls=244 in_miss=71978 in_hit=386304 out=31689 ≈¥0.591(标准价, 低谷约半)
[230/7940] ok=230 rej=0 flagged=36 calls=254 in_miss=75768 in_hit=401664 out=33039 ≈¥0.617(标准价, 低谷约半)
[240/7940] ok=240 rej=0 flagged=36 calls=265 in_miss=79491 in_hit=418560 out=34404 ≈¥0.643(标准价, 低谷约半)
[250/7940] ok=250 rej=0 flagged=37 calls=276 in_miss=83051 in_hit=435456 out=35750 ≈¥0.670(标准价, 低谷约半)
[260/7940] ok=260 rej=0 flagged=38 calls=286 in_miss=86448 in_hit=450816 out=37029 ≈¥0.695(标准价, 低谷约半)
[270/7940] ok=270 rej=0 flagged=39 calls=296 in_miss=89934 in_hit=466176 out=38379 ≈¥0.720(标准价, 低谷约半)
[280/7940] ok=280 rej=0 flagged=42 calls=306 in_miss=93670 in_hit=481536 out=39889 ≈¥0.747(标准价, 低谷约半)
[290/7940] ok=290 rej=0 flagged=44 calls=316 in_miss=97470 in_hit=496896 out=41367 ≈¥0.774(标准价, 低谷约半)
[300/7940] ok=300 rej=0 flagged=46 calls=326 in_miss=100720 in_hit=512256 out=42553 ≈¥0.798(标准价, 低谷约半)
[310/7940] ok=310 rej=0 flagged=46 calls=336 in_miss=104002 in_hit=527616 out=43878 ≈¥0.823(标准价, 低谷约半)
[320/7940] ok=320 rej=0 flagged=49 calls=346 in_miss=107711 in_hit=542976 out=45072 ≈¥0.847(标准价, 低谷约半)
[330/7940] ok=330 rej=0 flagged=52 calls=356 in_miss=111072 in_hit=558336 out=46235 ≈¥0.871(标准价, 低谷约半)
[340/7940] ok=340 rej=0 flagged=53 calls=367 in_miss=114819 in_hit=575232 out=47500 ≈¥0.897(标准价, 低谷约半)
[350/7940] ok=350 rej=0 flagged=55 calls=379 in_miss=118425 in_hit=593664 out=49265 ≈¥0.928(标准价, 低谷约半)
[360/7940] ok=360 rej=0 flagged=58 calls=390 in_miss=122022 in_hit=610560 out=50731 ≈¥0.955(标准价, 低谷约半)
[370/7940] ok=370 rej=0 flagged=59 calls=400 in_miss=125157 in_hit=625920 out=51910 ≈¥0.979(标准价, 低谷约半)
[380/7940] ok=380 rej=0 flagged=60 calls=410 in_miss=128599 in_hit=641280 out=53053 ≈¥1.002(标准价, 低谷约半)
[390/7940] ok=390 rej=0 flagged=60 calls=420 in_miss=131832 in_hit=656640 out=54311 ≈¥1.026(标准价, 低谷约半)
[400/7940] ok=400 rej=0 flagged=61 calls=430 in_miss=135490 in_hit=672000 out=55624 ≈¥1.052(标准价, 低谷约半)
[410/7940] ok=410 rej=0 flagged=62 calls=440 in_miss=138988 in_hit=687360 out=56917 ≈¥1.077(标准价, 低谷约半)
[420/7940] ok=420 rej=0 flagged=63 calls=450 in_miss=142440 in_hit=702720 out=58195 ≈¥1.102(标准价, 低谷约半)
[430/7940] ok=430 rej=0 flagged=66 calls=461 in_miss=146106 in_hit=719616 out=59577 ≈¥1.129(标准价, 低谷约半)
[440/7940] ok=440 rej=0 flagged=67 calls=471 in_miss=149478 in_hit=734976 out=60710 ≈¥1.152(标准价, 低谷约半)
[450/7940] ok=450 rej=0 flagged=67 calls=481 in_miss=152879 in_hit=750336 out=61911 ≈¥1.176(标准价, 低谷约半)
[460/7940] ok=460 rej=0 flagged=67 calls=491 in_miss=156302 in_hit=765696 out=63074 ≈¥1.200(标准价, 低谷约半)
[470/7940] ok=470 rej=0 flagged=67 calls=503 in_miss=160143 in_hit=784128 out=64544 ≈¥1.229(标准价, 低谷约半)
[480/7940] ok=480 rej=0 flagged=69 calls=514 in_miss=164156 in_hit=801024 out=66288 ≈¥1.259(标准价, 低谷约半)
[490/7940] ok=490 rej=0 flagged=70 calls=524 in_miss=167507 in_hit=816384 out=67378 ≈¥1.282(标准价, 低谷约半)
[500/7940] ok=500 rej=0 flagged=71 calls=534 in_miss=170805 in_hit=831744 out=68532 ≈¥1.306(标准价, 低谷约半)
[510/7940] ok=510 rej=0 flagged=73 calls=545 in_miss=174585 in_hit=848640 out=69902 ≈¥1.333(标准价, 低谷约半)
[520/7940] ok=520 rej=0 flagged=76 calls=556 in_miss=178464 in_hit=865536 out=71324 ≈¥1.360(标准价, 低谷约半)
[530/7940] ok=530 rej=0 flagged=78 calls=566 in_miss=181519 in_hit=880896 out=72592 ≈¥1.384(标准价, 低谷约半)
[540/7940] ok=540 rej=0 flagged=79 calls=577 in_miss=185143 in_hit=897792 out=73994 ≈¥1.411(标准价, 低谷约半)
[550/7940] ok=550 rej=0 flagged=79 calls=588 in_miss=189207 in_hit=914688 out=75287 ≈¥1.438(标准价, 低谷约半)
[560/7940] ok=560 rej=0 flagged=79 calls=598 in_miss=192667 in_hit=930048 out=76471 ≈¥1.462(标准价, 低谷约半)
[570/7940] ok=570 rej=0 flagged=81 calls=608 in_miss=195646 in_hit=945408 out=77655 ≈¥1.485(标准价, 低谷约半)
[580/7940] ok=580 rej=0 flagged=81 calls=618 in_miss=198936 in_hit=960768 out=78812 ≈¥1.509(标准价, 低谷约半)
[590/7940] ok=590 rej=0 flagged=81 calls=628 in_miss=202100 in_hit=976128 out=79952 ≈¥1.532(标准价, 低谷约半)
[600/7940] ok=600 rej=0 flagged=81 calls=638 in_miss=205350 in_hit=991488 out=81146 ≈¥1.556(标准价, 低谷约半)
[610/7940] ok=610 rej=0 flagged=82 calls=649 in_miss=209054 in_hit=1008384 out=82723 ≈¥1.584(标准价, 低谷约半)
[620/7940] ok=620 rej=0 flagged=84 calls=659 in_miss=212582 in_hit=1023744 out=83998 ≈¥1.609(标准价, 低谷约半)
[630/7940] ok=630 rej=0 flagged=87 calls=669 in_miss=216354 in_hit=1039104 out=85118 ≈¥1.633(标准价, 低谷约半)
[640/7940] ok=640 rej=0 flagged=87 calls=681 in_miss=220649 in_hit=1057536 out=86753 ≈¥1.664(标准价, 低谷约半)
[650/7940] ok=650 rej=0 flagged=90 calls=691 in_miss=223782 in_hit=1072896 out=88144 ≈¥1.689(标准价, 低谷约半)
[660/7940] ok=660 rej=0 flagged=90 calls=701 in_miss=227379 in_hit=1088256 out=89238 ≈¥1.713(标准价, 低谷约半)
[670/7940] ok=670 rej=0 flagged=92 calls=711 in_miss=230952 in_hit=1103616 out=90414 ≈¥1.737(标准价, 低谷约半)
[680/7940] ok=680 rej=0 flagged=95 calls=721 in_miss=234596 in_hit=1118976 out=91687 ≈¥1.762(标准价, 低谷约半)
[690/7940] ok=690 rej=0 flagged=95 calls=731 in_miss=237642 in_hit=1134336 out=92863 ≈¥1.785(标准价, 低谷约半)
[700/7940] ok=700 rej=0 flagged=96 calls=741 in_miss=241012 in_hit=1149696 out=94164 ≈¥1.810(标准价, 低谷约半)
[710/7940] ok=710 rej=0 flagged=96 calls=751 in_miss=244075 in_hit=1165056 out=95226 ≈¥1.832(标准价, 低谷约半)
[720/7940] ok=720 rej=0 flagged=99 calls=761 in_miss=247479 in_hit=1180416 out=96641 ≈¥1.858(标准价, 低谷约半)
[730/7940] ok=730 rej=0 flagged=102 calls=772 in_miss=251589 in_hit=1197312 out=98177 ≈¥1.887(标准价, 低谷约半)
[740/7940] ok=740 rej=0 flagged=104 calls=782 in_miss=255035 in_hit=1212672 out=99373 ≈¥1.911(标准价, 低谷约半)
[750/7940] ok=750 rej=0 flagged=105 calls=792 in_miss=258451 in_hit=1228032 out=100675 ≈¥1.936(标准价, 低谷约半)
[760/7940] ok=760 rej=0 flagged=107 calls=802 in_miss=261708 in_hit=1243392 out=101871 ≈¥1.960(标准价, 低谷约半)
[770/7940] ok=770 rej=0 flagged=107 calls=812 in_miss=265318 in_hit=1258752 out=103026 ≈¥1.984(标准价, 低谷约半)
[780/7940] ok=780 rej=0 flagged=108 calls=822 in_miss=269007 in_hit=1274112 out=104542 ≈¥2.011(标准价, 低谷约半)
[790/7940] ok=790 rej=0 flagged=108 calls=832 in_miss=272643 in_hit=1289472 out=105745 ≈¥2.036(标准价, 低谷约半)
[800/7940] ok=800 rej=0 flagged=109 calls=843 in_miss=276386 in_hit=1306368 out=107290 ≈¥2.064(标准价, 低谷约半)
[810/7940] ok=810 rej=0 flagged=110 calls=853 in_miss=279857 in_hit=1321728 out=108626 ≈¥2.090(标准价, 低谷约半)
[820/7940] ok=820 rej=0 flagged=113 calls=863 in_miss=283431 in_hit=1337088 out=109927 ≈¥2.115(标准价, 低谷约半)
[830/7940] ok=830 rej=0 flagged=114 calls=873 in_miss=286443 in_hit=1352448 out=111213 ≈¥2.139(标准价, 低谷约半)
[840/7940] ok=840 rej=0 flagged=114 calls=883 in_miss=290040 in_hit=1367808 out=112557 ≈¥2.164(标准价, 低谷约半)
[850/7940] ok=850 rej=0 flagged=116 calls=893 in_miss=293420 in_hit=1383168 out=113896 ≈¥2.190(标准价, 低谷约半)
[860/7940] ok=860 rej=0 flagged=118 calls=903 in_miss=296765 in_hit=1398528 out=115190 ≈¥2.214(标准价, 低谷约半)
[870/7940] ok=870 rej=0 flagged=119 calls=914 in_miss=300699 in_hit=1415424 out=116480 ≈¥2.241(标准价, 低谷约半)
[880/7940] ok=880 rej=0 flagged=121 calls=924 in_miss=303763 in_hit=1430784 out=117735 ≈¥2.265(标准价, 低谷约半)
[890/7940] ok=890 rej=0 flagged=123 calls=935 in_miss=307829 in_hit=1447680 out=119329 ≈¥2.294(标准价, 低谷约半)
[900/7940] ok=900 rej=0 flagged=124 calls=945 in_miss=311585 in_hit=1463040 out=120625 ≈¥2.320(标准价, 低谷约半)
[910/7940] ok=910 rej=0 flagged=126 calls=955 in_miss=314802 in_hit=1478400 out=121871 ≈¥2.344(标准价, 低谷约半)
[920/7940] ok=920 rej=0 flagged=127 calls=965 in_miss=318201 in_hit=1493760 out=123226 ≈¥2.369(标准价, 低谷约半)
